speaker,transcript,sentiment,intonation,pitch range,start_time,end_time,chunk
Agent,Terima kasih,positive,falling,middle,7.84,8.32,4
silence,,neutral,none,none,8.32,8.64,4
Agent,Kalau verifikasi PIN silakan nanti ditekan PIN kartu debitnya diakhiri dengan tanda pagar ya Pak,neutral,falling,middle,8.64,11.48,4
Customer,Iya,neutral,falling,middle,11.48,11.72,4
Agent,Saya alihkan,neutral,falling,middle,11.72,12.2,4
silence,,neutral,none,none,12.2,12.56,4
Agent,Terima kasih,positive,falling,middle,12.56,13.04,4
silence,,neutral,none,none,13.04,13.36,4
Agent,Untuk transaksi di kartu debitnya di tanggal berapa Pak,neutral,falling,middle,13.36,14.32,4
Customer,Sama tanggal hari ini juga,neutral,falling,middle,14.32,15.04,4
Agent,Hari ini dengan nominal berapa,neutral,falling,middle,15.04,15.6,4
Customer,Sama 24.575,neutral,falling,middle,15.6,16.4,4
Agent,24.575 ya,neutral,rising,middle,16.4,17.04,4
Customer,Iya,neutral,falling,middle,17.04,17.28,4
Agent,"Baik, mohon ditunggu.",neutral,falling,middle,0.0,1.2,5
silence,,neutral,none,none,1.2,2.2,5
Customer,"Bapak Doni, terima kasih atas kesabarannya menunggu.",positive,falling,middle,2.2,4.8,5
Agent,"Saya konfirmasi hari ini dengan saya Grace Ella, tanggal 8 Januari 2025.",neutral,falling,middle,4.8,8.6,5
Customer,"Permintaan untuk dari keluhan Bapak Doni terkait untuk dari ada transaksi yang Bapak merasa tidak mau kan ya, Pak?",neutral,rising,middle,8.6,16.0,5
Agent,Ini sudah kami buatkan untuk laporan sanggahan transaksinya. Nanti itu kami informasikan sama laporannya terlebih dahulu di Charlie Bravo Golf Romeo Echo 0801 2025 3473.,neutral,falling,middle,16.0,26.8,5
Customer,Iya.,neutral,falling,middle,26.8,27.6,5
Agent,Untuk proses pelaporan ini membutuhkan waktu maksimal sampai tanggal 9 Februari 2025 di jam kerja. Dan silakan nanti untuk form yang kami kirimkan melalui email diisi dengan lengkap.,neutral,falling,middle,27.6,38.4,5
Customer,"Nanti bisa dikirim ke email ya, Pak?",neutral,rising,middle,38.4,41.2,5
Agent,"Iya, siap, Pak.",positive,falling,middle,41.2,43.6,5
Agent,"Baik, ada lagi bisa saya bantu?",neutral,rising,middle,43.6,46.4,5
Customer,Untuk saatnya.,neutral,falling,middle,46.4,48.4,5
Agent,"Terima kasih Bapak Doni telah menghubungi. Selamat sore, sehat selalu.",positive,falling,middle,48.4,53.6,5
Customer,Iya.,neutral,falling,middle,53.6,54.4,5
Agent,"Halo selamat pagi, dengan siapa saya berbicara?",neutral,rising,middle,0.0,2.06,6
Customer,"Selamat pagi, saya [nama pelanggan]",neutral,falling,middle,2.06,3.3,6
Agent,"Baik, Ibu [nama pelanggan], ada yang bisa saya bantu?",neutral,rising,middle,3.3,4.63,6
Customer,"Iya, saya ingin menanyakan tentang pesanan saya dengan nomor pesanan [nomor pesanan]",neutral,falling,middle,4.63,8.43,6
Agent,"Baik, Ibu [nama pelanggan], saya akan cek pesanan dengan nomor [nomor pesanan]",neutral,falling,middle,8.43,10.9,6
silence,,neutral,none,none,10.9,11.8,6
Agent,"Ibu [nama pelanggan], pesanan dengan nomor [nomor pesanan] ini sudah dikirim pada tanggal [tanggal pengiriman], dengan estimasi waktu sampai [estimasi waktu]",neutral,falling,middle,11.8,17.9,6
Customer,"Oh ya, saya belum menerima pesanan saya sampai sekarang",negative,falling,middle,17.9,20.8,6
Agent,"Baik, Ibu [nama pelanggan], mohon maaf atas keterlambatannya. Saya akan cek lagi status pengirimannya",neutral,falling,middle,20.8,25.4,6
silence,,neutral,none,none,25.4,26.4,6
Agent,"Ibu [nama pelanggan], berdasarkan informasi yang saya dapatkan, pesanan Anda sudah sampai di [lokasi pengiriman] pada tanggal [tanggal pengiriman] dan sedang dalam proses pengiriman",neutral,falling,middle,26.4,34.8,6
Customer,Tapi saya tidak menerima pesan atau telepon dari kurir,negative,falling,middle,34.8,38.3,6
Agent,"Baik, Ibu [nama pelanggan], saya akan bantu hubungi kurir untuk memastikan status pengirimannya",neutral,falling,middle,38.3,43.5,6
silence,,neutral,none,none,43.5,44.4,6
Agent,"Mohon tunggu sebentar, Ibu [nama pelanggan]",neutral,falling,middle,44.4,47.6,6
silence,,neutral,none,none,47.6,52.5,6
Agent,"Ibu [nama pelanggan], saya sudah menghubungi kurir dan mereka menginformasikan bahwa pesanan Anda sudah diantar ke alamat yang tertera di pesanan",neutral,falling,middle,52.5,61.2,6
Customer,Tapi saya tidak menerima paketnya sama sekali,negative,falling,middle,61.2,64.6,6
Agent,"Baik, Ibu [nama pelanggan], saya akan bantu cek lagi dengan kurir dan akan menghubungi Anda kembali",neutral,falling,middle,64.6,71.7,6
Customer,"Baik, terima kasih",neutral,falling,middle,71.7,74.1,6
Agent,"Sama-sama, Ibu [nama pelanggan]. Saya akan menghubungi Anda kembali",neutral,falling,middle,74.1,79.4,6
silence,,neutral,none,none,79.4,80.3,6
Agent,Terima kasih,neutral,falling,middle,80.3,82.1,6
